"Path","Width","Height","KB"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (1).jpeg","445","669","476.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journal\cape-town-gay-capital-of-africa\city.png","513","423","425.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\PineApple House  (1).png","524","497","557"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\branding\mason-wild-monogram.png","549","181","40.8"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\MN 3 .png","569","695","754.6"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\MN 4.png","575","717","766.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-romantic\MN1.png","577","704","656.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\collage-mbano-helicopter-falls.jpg","590","390","47.3"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (1).jpg","600","539","286.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (2).jpeg","600","739","341.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (6).jpeg","600","752","348"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\branding\mason-wild-mw-green-transparent.png","605","213","36.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-classic\pineapple-house-suite.jpg","612","612","53.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-untamed\8.jpg","683","1024","71.1"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\SH (5).jpeg","768","503","43.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\TA (3).png","862","503","261.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\TA (4).png","897","500","503"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\TA (10).png","901","526","468"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-private-circuit\XI (1).png","903","677","907.7"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\TA (8).png","910","502","900.5"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\TA (1).png","915","499","353.4"
"C:\Users\ZannonJames\OneDrive - Quintana Minerals Corporation\Documents\proj\mason-wild-netlify\public\journeys\the-social-shift\TA (5).png","915","519","705.6"
